Year,Month,Day,Home,Away,Hscore,Ascore,Outcome,HFGMade,HFGAtt,H3ptMade,H3ptAtt,HFTMade,HFTAtt,HOBoard,HDBoard,Hassist,Hsteal,Hblock,Hturnover,HPF,Aoutcome,AFGMade,AFGAtt,A3ptMade,A3ptAtt,AFTMade,AFTAtt,AOBoard,ADBoard,Aassist,Asteal,Ablock,Aturnover,APF,Bubble
2018,10,17,CHO,MIL,112,113,0,41,92,16,38,14,22,9,32,21,8,9,11,19,1,42,85,14,34,15,20,11,46,26,5,4,21,25,0
2018,10,17,DET,BRK,103,100,1,39,92,6,24,19,22,14,32,21,5,5,14,20,0,40,82,5,27,15,22,5,34,28,9,5,17,23,0
2018,10,17,IND,MEM,111,83,1,47,83,10,26,7,13,13,44,29,2,7,20,24,0,25,84,10,29,23,28,7,21,16,11,3,7,18,0
2018,10,17,ORL,MIA,104,101,1,39,94,7,25,19,31,14,37,20,7,7,12,25,0,38,97,9,33,16,22,14,38,16,4,5,16,28,0
2018,10,17,NYK,ATL,126,107,1,45,99,12,33,24,31,10,36,21,12,6,15,23,0,41,90,10,36,15,18,7,38,19,7,3,24,30,0
2018,10,17,TOR,CLE,116,104,1,45,92,14,33,12,20,8,35,21,6,7,9,29,0,34,85,7,19,29,39,14,35,17,4,0,16,25,0
2018,10,19,ORL,CHO,88,120,0,36,94,6,31,10,14,12,32,18,8,7,15,16,1,43,92,17,38,17,20,12,43,32,6,4,15,17,0
2018,10,19,BRK,NYK,107,105,1,37,75,12,30,21,24,12,43,22,2,6,22,23,0,39,97,9,28,18,20,12,24,14,10,1,3,19,0
2018,10,20,TOR,BOS,113,101,1,39,88,10,29,29,36,14,38,21,5,5,17,29,1,33,82,9,25,28,33,11,36,21,8,2,15,26,0
2018,10,20,IND,BRK,132,112,1,51,92,16,24,14,22,10,30,21,12,5,10,18,0,41,86,16,37,14,22,9,31,25,6,6,20,18,0
2018,10,20,WAS,TOR,113,117,0,37,89,13,39,26,32,9,28,20,11,9,11,27,1,39,88,10,29,29,36,14,38,21,5,5,17,29,0
2018,10,20,NYK,BOS,101,103,0,36,87,12,35,17,27,11,35,23,8,1,16,25,1,33,82,9,25,28,33,11,36,21,8,2,15,26,0
2018,10,20,PHI,ORL,116,115,1,45,94,17,33,9,10,13,33,33,8,3,10,21,0,41,90,16,29,17,22,14,35,31,7,7,14,15,0
2018,10,21,CLE,ATL,111,133,0,46,99,10,27,9,14,15,34,23,5,2,18,25,1,48,98,22,47,15,19,9,35,32,9,7,12,21,0
2018,10,21,OKC,SAC,120,131,0,46,104,9,39,19,30,18,33,23,11,9,18,29,1,50,91,10,22,21,28,12,34,28,11,7,17,26,0
2018,10,22,BOS,ORL,90,93,0,37,91,9,40,7,9,9,42,21,6,3,12,15,1,38,93,10,35,7,10,8,41,28,6,2,9,15,0
2018,10,22,TOR,CHO,127,106,1,50,87,15,39,12,14,5,41,36,10,8,13,21,0,41,97,9,28,15,18,14,27,21,5,5,12,14,0
2018,10,23,DET,PHI,133,132,1,51,108,12,33,19,27,12,34,22,4,4,8,24,0,49,98,14,43,20,28,8,40,32,3,8,11,24,0
2018,10,24,ATL,DAL,111,104,1,37,91,15,38,22,31,10,44,28,6,6,15,26,0,38,91,12,40,16,26,9,43,25,7,9,17,27,0
